;;BDRX;IBOV;IBRA;IBXL;IBXX;ICO2;ICON;IDIV;IEEX;IFIX;IFNC;IGCT;IGCX;IGNM;IMAT;IMOB;INDX;ISEE;ITAG;IVBX;MLCX;SMLL;UTIL
CCR SA;ON NM;;CCRO3;CCRO3;CCRO3;CCRO3;CCRO3;;CCRO3;;;;CCRO3;CCRO3;CCRO3;;;;CCRO3;CCRO3;CCRO3;CCRO3;;
CCX CARVAO;ON NM;;;;;;;;;;;;;CCXC3;CCXC3;;;;;CCXC3;;;;
CEDRO;PN N1;;;;;;;;;;;;;;;;;;;CEDO4;;;;
CELESC;PN N2;;;;;;;;;;;;;CLSC4;;;;;;CLSC4;;;;
CELGENE CORP;DRN;CLGN34;;;;;;;;;;;;;;;;;;;;;;
CEMIG;ON N1;;;CMIG3;;CMIG3;;;;;;;CMIG3;CMIG3;;;;;CMIG3;;;CMIG3;;CMIG3
CEMIG;PN N1;;CMIG4;CMIG4;CMIG4;CMIG4;CMIG4;;CMIG4;CMIG4;;;CMIG4;CMIG4;;;;;CMIG4;;CMIG4;CMIG4;;CMIG4
CESP;ON N1;;;;;;;;;;;;;CESP3;;;;;;;;;;
CESP;PNB N1;;;CESP6;;CESP6;;;;CESP6;;;CESP6;CESP6;;;;;;CESP6;;;CESP6;CESP6
CHEVRON;DRN;CHVX34;;;;;;;;;;;;;;;;;;;;;;
CIA HERING;ON NM;;;HGTX3;;HGTX3;;HGTX3;HGTX3;;;;HGTX3;HGTX3;HGTX3;;;HGTX3;;HGTX3;;;HGTX3;
CIELO;ON NM;;CIEL3;CIEL3;CIEL3;CIEL3;CIEL3;;;;;CIEL3;CIEL3;CIEL3;CIEL3;;;;CIEL3;CIEL3;CIEL3;CIEL3;;
CISCO;DRN;CSCO34;;;;;;;;;;;;;;;;;;;;;;
CITIGROUP;DRN;CTGP34;;;;;;;;;;;;;;;;;;;;;;
COCA COLA;DRN;COCA34;;;;;;;;;;;;;;;;;;;;;;
COELCE;PNA;;;;;;;;;COCE5;;;;;;;;;;;;;;
COLGATE;DRN;COLG34;;;;;;;;;;;;;;;;;;;;;;
COMCAST;DRN;CMCS34;;;;;;;;;;;;;;;;;;;;;;
COPASA;ON NM;;;CSMG3;;CSMG3;;;CSMG3;;;;CSMG3;CSMG3;CSMG3;;;;;CSMG3;;;CSMG3;CSMG3
COPEL;ON N1;;;;;;;;;;;;;CPLE3;;;;;;;;;;
COPEL;PNB N1;;;CPLE6;;CPLE6;;;CPLE6;CPLE6;;;CPLE6;CPLE6;;;;;CPLE6;;;;CPLE6;CPLE6
COPHILLIPS;DRN;COPH34;;;;;;;;;;;;;;;;;;;;;;
COSAN;ON NM;;CSAN3;CSAN3;CSAN3;CSAN3;;;;;;;CSAN3;CSAN3;CSAN3;;;;;CSAN3;CSAN3;CSAN3;;
COSAN LOG;ON NM;;;RLOG3;;;;;;;;;RLOG3;RLOG3;RLOG3;;;;;RLOG3;;;RLOG3;
COTEMINAS;PN;;;;;;;;;;;;;;;;;;;CTNM4;;;;
COTY INC;DRN;COTY34;;;;;;;;;;;;;;;;;;;;;;
CPFL ENERGIA;ON NM;;;CPFE3;;;;;;CPFE3;;;CPFE3;CPFE3;CPFE3;;;;;CPFE3;;CPFE3;;CPFE3
CPFL RENOVAV;ON NM;;;;;;;;;CPRE3;;;;CPRE3;CPRE3;;;;;CPRE3;;;;
CR2;ON NM;;;;;;;;;;;;;CRDE3;CRDE3;;;;;CRDE3;;;;
CSU CARDSYST;ON NM;;;;;;;;;;;;;CARD3;CARD3;;;;;CARD3;;;;
CVC BRASIL;ON NM;;CVCB3;CVCB3;;CVCB3;;CVCB3;;;;;CVCB3;CVCB3;CVCB3;;;;;CVCB3;CVCB3;;CVCB3;
CYRE COM-CCP;ON NM;;;;;;;;;;;;;CCPR3;CCPR3;;;;;CCPR3;;;;
CYRELA REALT;ON NM;;CYRE3;CYRE3;;CYRE3;;CYRE3;;;;;CYRE3;CYRE3;CYRE3;;CYRE3;CYRE3;;CYRE3;CYRE3;;CYRE3;
DANAHER CORP;DRN;DHER34;;;;;;;;;;;;;;;;;;;;;;
DASA;ON;;;;;;;;;;;;;;;;;;;DASA3;;;;
DIRECIONAL;ON NM;;;DIRR3;;;;DIRR3;;;;;DIRR3;DIRR3;DIRR3;;DIRR3;DIRR3;;DIRR3;;;DIRR3;
DOMMO;ON;;;DMMO3;;;;;;;;;;;;;;;;;;;DMMO3;
DOWDUPONT;DRN;DWDP34;;;;;;;;;;;;;;;;;;;;;;
DUKE ENERGY;DRN;DUKB34;;;;;;;;;;;;;;;;;;;;;;
DURATEX;ON NM;;;DTEX3;;DTEX3;;;;;;;DTEX3;DTEX3;DTEX3;DTEX3;;DTEX3;DTEX3;DTEX3;;;DTEX3;
EBAY;DRN;EBAY34;;;;;;;;;;;;;;;;;;;;;;
ECORODOVIAS;ON NM;;ECOR3;ECOR3;;ECOR3;;;;;;;ECOR3;ECOR3;ECOR3;;;;ECOR3;ECOR3;ECOR3;;ECOR3;
ELEKEIROZ;PN;;;;;;;;;;;;;;;;;;;ELEK4;;;;
ELETROBRAS;ON N1;;ELET3;ELET3;ELET3;ELET3;;;;ELET3;;;ELET3;ELET3;;;;;ELET3;;ELET3;ELET3;;ELET3
ELETROBRAS;PNB N1;;ELET6;ELET6;ELET6;ELET6;;;;;;;ELET6;ELET6;;;;;ELET6;;;ELET6;;ELET6
ELETROPAULO;ON NM;;;;;;;;;ELPL3;;;;ELPL3;ELPL3;;;;ELPL3;ELPL3;;;ELPL3;
EMBRAER;ON NM;;EMBR3;EMBR3;EMBR3;EMBR3;;;;;;;EMBR3;EMBR3;EMBR3;;;EMBR3;;EMBR3;EMBR3;EMBR3;;
ENERGIAS BR;ON NM;;ENBR3;ENBR3;;ENBR3;;;ENBR3;ENBR3;;;ENBR3;ENBR3;ENBR3;;;;ENBR3;ENBR3;ENBR3;;ENBR3;ENBR3
ENERGISA;UNT N2;;;ENGI11;;ENGI11;;;;ENGI11;;;ENGI11;ENGI11;;;;;;ENGI11;;ENGI11;;ENGI11
ENEVA;ON NM;;;ENEV3;;;;;;ENEV3;;;ENEV3;ENEV3;ENEV3;;;;;ENEV3;;;ENEV3;ENEV3
ENGIE BRASIL;ON NM;;EGIE3;EGIE3;;EGIE3;;;EGIE3;EGIE3;;;EGIE3;EGIE3;EGIE3;;;;EGIE3;EGIE3;;EGIE3;;EGIE3
EQUATORIAL;ON NM;;EQTL3;EQTL3;;EQTL3;;;;EQTL3;;;EQTL3;EQTL3;EQTL3;;;;;EQTL3;EQTL3;EQTL3;;EQTL3
ESTACIO PART;ON NM;;ESTC3;ESTC3;ESTC3;ESTC3;;ESTC3;ESTC3;;;;ESTC3;ESTC3;ESTC3;;;;;ESTC3;ESTC3;;ESTC3;
EUCATEX;PN N1;;;;;;;;;;;;;EUCA4;;;;;;;;;;
EVEN;ON NM;;;EVEN3;;;;EVEN3;;;;;EVEN3;EVEN3;EVEN3;;EVEN3;EVEN3;;EVEN3;;;EVEN3;
EXXON MOBIL;DRN;EXXO34;;;;;;;;;;;;;;;;;;;;;;
EZTEC;ON NM;;;EZTC3;;EZTC3;;EZTC3;EZTC3;;;;EZTC3;EZTC3;EZTC3;;EZTC3;EZTC3;;EZTC3;;;EZTC3;
FACEBOOK;DRN;FBOK34;;;;;;;;;;;;;;;;;;;;;;
FEDEX CORP;DRN;FDXB34;;;;;;;;;;;;;;;;;;;;;;
FEMSA;DRN;FMXB34;;;;;;;;;;;;;;;;;;;;;;
FERBASA;PN N1;;;FESA4;;;;;FESA4;;;;FESA4;FESA4;;FESA4;;FESA4;;;;;FESA4;
FII ABC IMOB;CI;;;;;;;;;;ABCP11;;;;;;;;;;;;;
FII ABSOLUTO;CI;;;;;;;;;;BPFF11;;;;;;;;;;;;;
FII AESAPAR;CI;;;;;;;;;;AEFI11;;;;;;;;;;;;;
FII AG CAIXA;CI;;;;;;;;;;AGCX11;;;;;;;;;;;;;
FII ALIANZA;CI;;;;;;;;;;ALZR11;;;;;;;;;;;;;
FII ALMIRANT;CI MB;;;;;;;;;;FAMB11B;;;;;;;;;;;;;
FII ANH EDUC;CI;;;;;;;;;;FAED11;;;;;;;;;;;;;
FII BB CORP;CI;;;;;;;;;;BBRC11;;;;;;;;;;;;;
FII BB PRGII;CI;;;;;;;;;;BBPO11;;;;;;;;;;;;;
FII BB PROGR;CI MB;;;;;;;;;;BBFI11B;;;;;;;;;;;;;
FII BB R PAP;CI;;;;;;;;;;RNDP11;;;;;;;;;;;;;
FII BC FFII;CI;;;;;;;;;;BCFF11;;;;;;;;;;;;;
FII BC FUND;CI;;;;;;;;;;BRCR11;;;;;;;;;;;;;
FII BCIA;CI;;;;;;;;;;BCIA11;;;;;;;;;;;;;
FII BEES CRI;CI;;;;;;;;;;BCRI11;;;;;;;;;;;;;
FII BM THERA;CI;;;;;;;;;;THRA11;;;;;;;;;;;;;
FII BMBRC LC;CI MB;;;;;;;;;;BMLC11B;;;;;;;;;;;;;
FII C BRANCO;CI;;;;;;;;;;CBOP11;;;;;;;;;;;;;
FII C JARDIM;CI;;;;;;;;;;BBVJ11;;;;;;;;;;;;;
FII C TEXTIL;CI;;;;;;;;;;CTXT11;;;;;;;;;;;;;
FII CAMPUSFL;CI;;;;;;;;;;FCFL11;;;;;;;;;;;;;
FII CAPI SEC;CI MB;;;;;;;;;;CPTS11B;;;;;;;;;;;;;
FII CENESP;CI;;;;;;;;;;CNES11;;;;;;;;;;;;;
FII CEO CCP;CI;;;;;;;;;;CEOC11;;;;;;;;;;;;;
FII CRIANCA;CI;;;;;;;;;;HCRI11;;;;;;;;;;;;;
FII CSHG CRI;CI;;;;;;;;;;HGCR11;;;;;;;;;;;;;
FII CSHG LOG;CI;;;;;;;;;;HGLG11;;;;;;;;;;;;;
FII CSHG URB;CI;;;;;;;;;;HGRU11;;;;;;;;;;;;;
FII CSHGJHSF;CI;;;;;;;;;;HGJH11;;;;;;;;;;;;;
FII CX CEDAE;CI MB;;;;;;;;;;CXCE11B;;;;;;;;;;;;;
FII CX RBRAV;CI;;;;;;;;;;CXRI11;;;;;;;;;;;;;
FII D PEDRO;CI;;;;;;;;;;PQDP11;;;;;;;;;;;;;
FII DEA CARE;CI;;;;;;;;;;CARE11;;;;;;;;;;;;;
FII EUROPAR;CI;;;;;;;;;;EURO11;;;;;;;;;;;;;
FII EXCELLEN;CI;;;;;;;;;;FEXC11;;;;;;;;;;;;;
FII FATOR VE;CI;;;;;;;;;;VRTA11;;;;;;;;;;;;;
FII FATORFIX;CI;;;;;;;;;;FIXX11;;;;;;;;;;;;;
FII GALERIA;CI;;;;;;;;;;EDGA11;;;;;;;;;;;;;
FII GEN SHOP;CI;;;;;;;;;;FIGS11;;;;;;;;;;;;;
FII GGRCOVEP;CI;;;;;;;;;;GGRC11;;;;;;;;;;;;;
FII HEDGEBS;CI;;;;;;;;;;HGBS11;;;;;;;;;;;;;
FII HG REAL;CI;;;;;;;;;;HGRE11;;;;;;;;;;;;;
FII HIGIENOP;CI;;;;;;;;;;SHPH11;;;;;;;;;;;;;
FII HOTEL MX;CI;;;;;;;;;;HTMX11;;;;;;;;;;;;;
FII HTOPFOF2;CI;;;;;;;;;;FOFT11;;;;;;;;;;;;;
FII HTOPFOF3;CI;;;;;;;;;;HFOF11;;;;;;;;;;;;;
FII INDL BR;CI;;;;;;;;;;FIIB11;;;;;;;;;;;;;
FII IRIDIUM;CI;;;;;;;;;;IRDM11;;;;;;;;;;;;;
FII JHSF FBV;CI;;;;;;;;;;RBBV11;;;;;;;;;;;;;
FII JS REAL;CI;;;;;;;;;;JSRE11;;;;;;;;;;;;;
FII KII REAL;CI;;;;;;;;;;KNRE11;;;;;;;;;;;;;
FII KINEA;CI;;;;;;;;;;KNRI11;;;;;;;;;;;;;
FII KINEA HY;CI;;;;;;;;;;KNHY11;;;;;;;;;;;;;
FII KINEA IP;CI;;;;;;;;;;KNIP11;;;;;;;;;;;;;
FII KINEA RI;CI;;;;;;;;;;KNCR11;;;;;;;;;;;;;
FII LOURDES;CI;;;;;;;;;;NSLU11;;;;;;;;;;;;;
FII LOUVEIRA;CI;;;;;;;;;;GRLV11;;;;;;;;;;;;;
FII MALLS BP;CI;;;;;;;;;;MALL11;;;;;;;;;;;;;
FII MAX RET;CI;;;;;;;;;;MAXR11;;;;;;;;;;;;;
FII MAXI REN;CI;;;;;;;;;;MXRF11;;;;;;;;;;;;;
FII MERC BR;CI;;;;;;;;;;MBRF11;;;;;;;;;;;;;
FII MERITO I;CI;;;;;;;;;;MFII11;;;;;;;;;;;;;
FII MOGNO;CI;;;;;;;;;;MGFF11;;;;;;;;;;;;;
FII OLIMPIA;CI;;;;;;;;;;VLOL11;;;;;;;;;;;;;
FII OURI JPP;CI;;;;;;;;;;OUJP11;;;;;;;;;;;;;
FII POLO CRI;CI;;;;;;;;;;PORD11;;;;;;;;;;;;;
FII RB CAP I;CI MB;;;;;;;;;;FIIP11B;;;;;;;;;;;;;
FII RB GSB I;CI;;;;;;;;;;RBGS11;;;;;;;;;;;;;
FII RB II;CI;;;;;;;;;;RBRD11;;;;;;;;;;;;;
FII RBRALPHA;CI;;;;;;;;;;RBRF11;;;;;;;;;;;;;
FII RBRHGRAD;CI;;;;;;;;;;RBRR11;;;;;;;;;;;;;
FII RIOB RC;CI;;;;;;;;;;FFCI11;;;;;;;;;;;;;
FII RIONEGRO;CI;;;;;;;;;;RNGO11;;;;;;;;;;;;;
FII S F LIMA;CI;;;;;;;;;;FLMA11;;;;;;;;;;;;;
FII SANT AGE;CI;;;;;;;;;;SAAG11;;;;;;;;;;;;;
FII SDI LOG;CI;;;;;;;;;;SDIL11;;;;;;;;;;;;;
FII SHOPJSUL;CI;;;;;;;;;;JRDM11;;;;;;;;;;;;;
FII SP DOWNT;CI;;;;;;;;;;SPTW11;;;;;;;;;;;;;
FII TBOFFICE;CI;;;;;;;;;;TBOF11;;;;;;;;;;;;;
FII TG ATIVO;CI;;;;;;;;;;TGAR11;;;;;;;;;;;;;
FII THE ONE;CI;;;;;;;;;;ONEF11;;;;;;;;;;;;;
FII TORRE AL;CI;;;;;;;;;;ALMI11;;;;;;;;;;;;;
FII TRX LOG;CI;;;;;;;;;;TRXL11;;;;;;;;;;;;;
FII TRXE COR;CI;;;;;;;;;;XTED11;;;;;;;;;;;;;
FII UBS (BR);CI;;;;;;;;;;UBSR11;;;;;;;;;;;;;
FII VBI 4440;CI;;;;;;;;;;FVBI11;;;;;;;;;;;;;
FII VINCI SC;CI;;;;;;;;;;VISC11;;;;;;;;;;;;;
FII XP LOG;CI;;;;;;;;;;XPLG11;;;;;;;;;;;;;
FII XP MACAE;CI;;;;;;;;;;XPCM11;;;;;;;;;;;;;
FII XP MALLS;CI;;;;;;;;;;XPML11;;;;;;;;;;;;;
FLEURY;ON NM;;FLRY3;FLRY3;;FLRY3;;FLRY3;;;;;FLRY3;FLRY3;FLRY3;;;;FLRY3;FLRY3;FLRY3;;FLRY3;
FORD MOTORS;DRN;FDMO34;;;;;;;;;;;;;;;;;;;;;;
FORJA TAURUS;ON N2;;;;;;;;;;;;;FJTA3;;;;;;FJTA3;;;;
FORJA TAURUS;PN N2;;;FJTA4;;;;;;;;;FJTA4;FJTA4;;;;FJTA4;;FJTA4;;;FJTA4;
FRAS-LE;ON N1;;;;;;;;;;;;;FRAS3;;;;;;;;;;
FREEPORT;DRN;FCXO34;;;;;;;;;;;;;;;;;;;;;;
GAFISA;ON NM;;;GFSA3;;GFSA3;;GFSA3;;;;;GFSA3;GFSA3;GFSA3;;GFSA3;GFSA3;;GFSA3;;;GFSA3;
GE;DRN;GEOO34;;;;;;;;;;;;;;;;;;;;;;
GEN DYNAMICS;DRN;GDBR34;;;;;;;;;;;;;;;;;;;;;;
GENERALSHOPP;ON NM;;;;;;;;;;;;;GSHP3;GSHP3;;;;;GSHP3;;;;
GER PARANAP;PN;;;;;;;;;;;;;;;;;;;GEPA4;;;;
GERDAU;ON N1;;;;;;;;;;;;;GGBR3;;;;;;GGBR3;;;;
GERDAU;PN N1;;GGBR4;GGBR4;GGBR4;GGBR4;;;;;;;GGBR4;GGBR4;;GGBR4;;GGBR4;;GGBR4;;GGBR4;;
GERDAU MET;ON N1;;;;;;;;;;;;;GOAU3;;;;;;GOAU3;;;;
GERDAU MET;PN N1;;GOAU4;GOAU4;GOAU4;GOAU4;;;;;;;GOAU4;GOAU4;;GOAU4;;GOAU4;;GOAU4;GOAU4;;GOAU4;
GOL;PN N2;;GOLL4;GOLL4;GOLL4;GOLL4;GOLL4;;;;;;GOLL4;GOLL4;;;;;;GOLL4;GOLL4;;GOLL4;
GOLDMANSACHS;DRN;GSGI34;;;;;;;;;;;;;;;;;;;;;;
GRAZZIOTIN;ON;;;;;;;;;;;;;;;;;;;CGRA3;;;;
GRAZZIOTIN;PN;;;;;;;;;;;;;;;;;;;CGRA4;;;;
GRENDENE;ON NM;;;GRND3;;;;GRND3;GRND3;;;;GRND3;GRND3;GRND3;;;GRND3;;GRND3;;;GRND3;
GUARARAPES;ON;;;GUAR3;;;;GUAR3;;;;;;;;;;;;;;;GUAR3;
HALLIBURTON;DRN;HALI34;;;;;;;;;;;;;;;;;;;;;;
HAPVIDA;ON NM;;;HAPV3;;HAPV3;;HAPV3;;;;;HAPV3;HAPV3;HAPV3;;;;;HAPV3;;HAPV3;;
HELBOR;ON NM;;;;;;;;;;;;;HBOR3;HBOR3;;;HBOR3;;HBOR3;;;;
HERSHEY CO;DRN;HSHY34;;;;;;;;;;;;;;;;;;;;;;
HOME DEPOT;DRN;HOME34;;;;;;;;;;;;;;;;;;;;;;
HONEYWELL;DRN;HONB34;;;;;;;;;;;;;;;;;;;;;;
HP COMPANY;DRN;HPQB34;;;;;;;;;;;;;;;;;;;;;;
HYPERA;ON NM;;HYPE3;HYPE3;HYPE3;HYPE3;HYPE3;HYPE3;;;;;HYPE3;HYPE3;HYPE3;;;;;HYPE3;HYPE3;HYPE3;;
IBM;DRN;IBMB34;;;;;;;;;;;;;;;;;;;;;;
IGUATEMI;ON NM;;IGTA3;IGTA3;;IGTA3;;;;;;;IGTA3;IGTA3;IGTA3;;IGTA3;;;IGTA3;IGTA3;;IGTA3;
IHPARDINI;ON NM;;;PARD3;;;;PARD3;;;;;PARD3;PARD3;PARD3;;;;;PARD3;;;PARD3;
IMC S/A;ON NM;;;MEAL3;;;;MEAL3;;;;;MEAL3;MEAL3;MEAL3;;;;;MEAL3;;;MEAL3;
INDS ROMI;ON NM;;;;;;;;;;;;;ROMI3;ROMI3;;;;;ROMI3;;;;
INDUSVAL;ON N2;;;;;;;;;;;;;;;;;;;IDVL3;;;;
INTEL;DRN;ITLC34;;;;;;;;;;;;;;;;;;;;;;
INTERMEDICA;ON NM;;;GNDI3;;GNDI3;;GNDI3;;;;;GNDI3;GNDI3;GNDI3;;;;;GNDI3;;GNDI3;;
IOCHP-MAXION;ON NM;;;MYPK3;;MYPK3;;MYPK3;;;;;MYPK3;MYPK3;MYPK3;;;MYPK3;;MYPK3;;;MYPK3;
IRBBRASIL RE;ON NM;;;IRBR3;;IRBR3;;;;;;IRBR3;IRBR3;IRBR3;IRBR3;;;;;IRBR3;IRBR3;IRBR3;;
ITAUSA;ON N1;;;;;;;;;;;;;ITSA3;;;;;;;;;;
ITAUSA;PN N1;;ITSA4;ITSA4;ITSA4;ITSA4;ITSA4;;ITSA4;;;ITSA4;ITSA4;ITSA4;;;;;ITSA4;ITSA4;;ITSA4;;
ITAUUNIBANCO;ON N1;;;ITUB3;;;;;ITUB3;;;ITUB3;ITUB3;ITUB3;;;;;ITUB3;;;ITUB3;;
ITAUUNIBANCO;PN N1;;ITUB4;ITUB4;ITUB4;ITUB4;ITUB4;;ITUB4;;;ITUB4;ITUB4;ITUB4;;;;;ITUB4;ITUB4;;ITUB4;;
JBS;ON NM;;JBSS3;JBSS3;JBSS3;JBSS3;JBSS3;JBSS3;;;;;JBSS3;JBSS3;JBSS3;;;JBSS3;;JBSS3;JBSS3;JBSS3;;
JHSF PART;ON NM;;;;;;;;;;;;;JHSF3;JHSF3;;;;;JHSF3;;;;
JOAO FORTES;ON;;;;;;;;;;;;;;;;;;;JFEN3;;;;
JOHNSON;DRN;JNJB34;;;;;;;;;;;;;;;;;;;;;;
JPMORGAN;DRN;JPMC34;;;;;;;;;;;;;;;;;;;;;;
JSL;ON NM;;;;;;;;;;;;;JSLG3;JSLG3;;;;;JSLG3;;;;
KEPLER WEBER;ON;;;;;;;;;;;;;;;;;;;KEPL3;;;;
